"Num","Name","Qty","Amount"
"Inventory",,,
"62337 (Fika one glass 2pc Rectangular 1300ml (44oz)  - Ivory)",,,
"TJX10002664","TJX - TJ Maxx:TJX-TJ Maxx-10",644,4578.84
"TJX40002664","TJX - TJ Maxx:TJX-TJ Maxx-40",796,5659.56
"TJX60002664","TJX - TJ Maxx:TJX-TJ Maxx-60",360,2559.60
"TJX80002664","TJX - TJ Maxx:TJX-TJ Maxx-80",1112,7906.32
"MAR01002662","TJX - Marshalls:TJX-Marshalls-01",524,3725.64
"MAR04002662","TJX - Marshalls:TJX-Marshalls-04",256,1820.16
"MAR06002662","TJX - Marshalls:TJX-Marshalls-06",440,3128.40
"MAR07002662","TJX - Marshalls:TJX-Marshalls-07",120,853.20
"MAR08002662","TJX - Marshalls:TJX-Marshalls-08",1048,7451.28
"TJX10002669","TJX - TJ Maxx:TJX-TJ Maxx-10",864,6143.04
"TJX40002669","TJX - TJ Maxx:TJX-TJ Maxx-40",1044,7422.84
"TJX60002669","TJX - TJ Maxx:TJX-TJ Maxx-60",988,7024.68
"TJX70002669","TJX - TJ Maxx:TJX-TJ Maxx-70",1328,9442.08
"TJX80002669","TJX - TJ Maxx:TJX-TJ Maxx-80",1076,7650.36
"Total 62337 (Fika one glass 2pc Rectangular 1300ml (44oz)  - Ivory)",,10600,75366.00
"62338 (Fika one glass 2pc Rectangular 1600ml (54oz)  - Ivory)",,,
"TJX10002664","TJX - TJ Maxx:TJX-TJ Maxx-10",384,3091.20
"TJX40002664","TJX - TJ Maxx:TJX-TJ Maxx-40",480,3864.00
"TJX60002664","TJX - TJ Maxx:TJX-TJ Maxx-60",216,1738.80
"TJX80002664","TJX - TJ Maxx:TJX-TJ Maxx-80",668,5377.40
"MAR01002662","TJX - Marshalls:TJX-Marshalls-01",352,2833.60
"MAR04002662","TJX - Marshalls:TJX-Marshalls-04",152,1223.60
"MAR06002662","TJX - Marshalls:TJX-Marshalls-06",300,2415.00
"MAR08002662","TJX - Marshalls:TJX-Marshalls-08",628,5055.40
"TJX10002669","TJX - TJ Maxx:TJX-TJ Maxx-10",520,4186.00
"TJX40002669","TJX - TJ Maxx:TJX-TJ Maxx-40",624,5023.20
"TJX60002669","TJX - TJ Maxx:TJX-TJ Maxx-60",592,4765.60
"TJX70002669","TJX - TJ Maxx:TJX-TJ Maxx-70",796,6407.80
"TJX80002669","TJX - TJ Maxx:TJX-TJ Maxx-80",648,5216.40
"Total 62338 (Fika one glass 2pc Rectangular 1600ml (54oz)  - Ivory)",,6360,51198.00
"66801 (Wavy Glass 11oz Square Food Storage, Dark Green - Vent)",,,
"JCS655681","JC Sales",1368,1463.76
"Total 66801 (Wavy Glass 11oz Square Food Storage, Dark Green - Vent)",,1368,1463.76
"66802 (Wavy Glass 17oz Square Food Storage, Dark Green - Vent)",,,
"JCS655681","JC Sales",2304,3018.24
"Total 66802 (Wavy Glass 17oz Square Food Storage, Dark Green - Vent)",,2304,3018.24
"66803 (Wavy Glass 27oz Square Food Storage, Dark Green - Vent)",,,
"JCS655681","JC Sales",3456,6117.12
"Total 66803 (Wavy Glass 27oz Square Food Storage, Dark Green - Vent)",,3456,6117.12
"66804 (Wavy Glass 12oz Rectangle Food Storage, Dark Green - Vent)",,,
"JCS655681","JC Sales",1368,1627.92
"Total 66804 (Wavy Glass 12oz Rectangle Food Storage, Dark Green - Vent)",,1368,1627.92
"66805 (Wavy Glass 21oz Rectangle Food Storage, Dark Green - Vent)",,,
"JCS655681","JC Sales",3456,5425.92
"Total 66805 (Wavy Glass 21oz Rectangle Food Storage, Dark Green - Vent)",,3456,5425.92
"66806 (Wavy Glass 34oz Rectangle Food Storage, Dark Green - Vent)",,,
"JCS655681","JC Sales",2880,6019.20
"Total 66806 (Wavy Glass 34oz Rectangle Food Storage, Dark Green - Vent)",,2880,6019.20
"66807 (Wavy Glass 51oz Rectangle Food Storage, Dark Green - Vent)",,,
"JCS655681","JC Sales",2304,6197.76
"Total 66807 (Wavy Glass 51oz Rectangle Food Storage, Dark Green - Vent)",,2304,6197.76
"66888 (Wavy Glass 11 oz Square Food Storage 3P sets Ivory)",,,
"MAR01033820","TJX - Marshalls:TJX-Marshalls-01",392,1399.44
"MAR04033820","TJX - Marshalls:TJX-Marshalls-04",260,928.20
"MAR06033820","TJX - Marshalls:TJX-Marshalls-06",300,1071.00
"MAR07033820","TJX - Marshalls:TJX-Marshalls-07",304,1085.28
"MAR08033820","TJX - Marshalls:TJX-Marshalls-08",384,1370.88
"TJX10033860","TJX - TJ Maxx:TJX-TJ Maxx-10",320,1142.40
"TJX40033860","TJX - TJ Maxx:TJX-TJ Maxx-40",372,1328.04
"TJX60033860","TJX - TJ Maxx:TJX-TJ Maxx-60",392,1399.44
"TJX70033860","TJX - TJ Maxx:TJX-TJ Maxx-70",540,1927.80
"TJX80033860","TJX - TJ Maxx:TJX-TJ Maxx-80",376,1342.32
"Total 66888 (Wavy Glass 11 oz Square Food Storage 3P sets Ivory)",,3640,12994.80
"66889 (Wavy Glass 17 oz Square Food Storage 3P sets Ivory)",,,
"MAR01033810","TJX - Marshalls:TJX-Marshalls-01",92,394.68
"MAR04033810","TJX - Marshalls:TJX-Marshalls-04",96,411.84
"MAR06033810","TJX - Marshalls:TJX-Marshalls-06",112,480.48
"MAR07033810","TJX - Marshalls:TJX-Marshalls-07",108,463.32
"MAR08033810","TJX - Marshalls:TJX-Marshalls-08",140,600.60
"TJX10033853","TJX - TJ Maxx:TJX-TJ Maxx-10",104,446.16
"TJX40033853","TJX - TJ Maxx:TJX-TJ Maxx-40",124,531.96
"TJX60033853","TJX - TJ Maxx:TJX-TJ Maxx-60",132,566.28
"TJX70033853","TJX - TJ Maxx:TJX-TJ Maxx-70",180,772.20
"TJX80033853","TJX - TJ Maxx:TJX-TJ Maxx-80",124,531.96
"Total 66889 (Wavy Glass 17 oz Square Food Storage 3P sets Ivory)",,1212,5199.48
"66892 (Wavy Glass 21 oz Rectangular Food Storage 3P sets Ivory)",,,
"MAR01033820","TJX - Marshalls:TJX-Marshalls-01",260,1307.80
"MAR04033820","TJX - Marshalls:TJX-Marshalls-04",176,885.28
"MAR06033820","TJX - Marshalls:TJX-Marshalls-06",200,1006.00
"MAR07033820","TJX - Marshalls:TJX-Marshalls-07",204,1026.12
"MAR08033820","TJX - Marshalls:TJX-Marshalls-08",256,1287.68
"TJX10033860","TJX - TJ Maxx:TJX-TJ Maxx-10",212,1066.36
"TJX40033860","TJX - TJ Maxx:TJX-TJ Maxx-40",248,1247.44
"TJX60033860","TJX - TJ Maxx:TJX-TJ Maxx-60",264,1327.92
"TJX70033860","TJX - TJ Maxx:TJX-TJ Maxx-70",360,1810.80
"TJX80033860","TJX - TJ Maxx:TJX-TJ Maxx-80",248,1247.44
"Total 66892 (Wavy Glass 21 oz Rectangular Food Storage 3P sets Ivory)",,2428,12212.84
"66900 (Wavy Glass 34 oz Rectangular Food Storage 2P sets - Sage)",,,
"MAR01002663","TJX - Marshalls:TJX-Marshalls-01",620,2449.00
"MAR04002663","TJX - Marshalls:TJX-Marshalls-04",416,1643.20
"MAR06002663","TJX - Marshalls:TJX-Marshalls-06",500,1975.00
"MAR07002663","TJX - Marshalls:TJX-Marshalls-07",160,632.00
"MAR08002663","TJX - Marshalls:TJX-Marshalls-08",692,2733.40
"TJX10002664","TJX - TJ Maxx:TJX-TJ Maxx-10",644,2543.80
"TJX40002664","TJX - TJ Maxx:TJX-TJ Maxx-40",796,3144.20
"TJX60002664","TJX - TJ Maxx:TJX-TJ Maxx-60",360,1422.00
"TJX80002664","TJX - TJ Maxx:TJX-TJ Maxx-80",1112,4392.40
"MAR01002662","TJX - Marshalls:TJX-Marshalls-01",524,2069.80
"MAR04002662","TJX - Marshalls:TJX-Marshalls-04",252,995.40
"MAR06002662","TJX - Marshalls:TJX-Marshalls-06",444,1753.80
"MAR07002662","TJX - Marshalls:TJX-Marshalls-07",120,474.00
"MAR08002662","TJX - Marshalls:TJX-Marshalls-08",1048,4139.60
"TJX10002669","TJX - TJ Maxx:TJX-TJ Maxx-10",472,1864.40
"TJX40002669","TJX - TJ Maxx:TJX-TJ Maxx-40",572,2259.40
"TJX60002669","TJX - TJ Maxx:TJX-TJ Maxx-60",544,2148.80
"TJX70002669","TJX - TJ Maxx:TJX-TJ Maxx-70",732,2891.40
"TJX80002669","TJX - TJ Maxx:TJX-TJ Maxx-80",592,2338.40
"Total 66900 (Wavy Glass 34 oz Rectangular Food Storage 2P sets - Sage)",,10600,41870.00
"66901 (Comodo Glass 11oz Square Food Storage, White-Glass Lid)",,,
"JCS655681","JC Sales",1368,2038.32
"Total 66901 (Comodo Glass 11oz Square Food Storage, White-Glass Lid)",,1368,2038.32
"66902 (Comodo Glass 18oz Square Food Storage, White-Glass Lid)",,,
"JCS655681","JC Sales",2304,3916.80
"Total 66902 (Comodo Glass 18oz Square Food Storage, White-Glass Lid)",,2304,3916.80
"66903 (Comodo Glass 27oz Square Food Storage, White-Glass Lid)",,,
"JCS655681","JC Sales",3456,7153.92
"Total 66903 (Comodo Glass 27oz Square Food Storage, White-Glass Lid)",,3456,7153.92
"66904 (Comodo Glass 13oz Rectangular Food Storage, White-Glass Lid)",,,
"JCS655681","JC Sales",2304,3640.32
"Total 66904 (Comodo Glass 13oz Rectangular Food Storage, White-Glass Lid)",,2304,3640.32
"66905 (Comodo Glass 20oz Rectangular Food Storage, White-Glass Lid)",,,
"JCS655681","JC Sales",1368,2612.88
"Total 66905 (Comodo Glass 20oz Rectangular Food Storage, White-Glass Lid)",,1368,2612.88
"66906 (Comodo Glass 34oz Rectangular Food Storage, White-Glass Lid)",,,
"JCS655681","JC Sales",2880,7344.00
"Total 66906 (Comodo Glass 34oz Rectangular Food Storage, White-Glass Lid)",,2880,7344.00
"66908 (Wavy Glass 51 oz Rectangular Food Storage 2P sets - Sage)",,,
"MAR01002663","TJX - Marshalls:TJX-Marshalls-01",448,2217.60
"MAR04002663","TJX - Marshalls:TJX-Marshalls-04",300,1485.00
"MAR06002663","TJX - Marshalls:TJX-Marshalls-06",360,1782.00
"MAR07002663","TJX - Marshalls:TJX-Marshalls-07",116,574.20
"MAR08002663","TJX - Marshalls:TJX-Marshalls-08",496,2455.20
"TJX10002664","TJX - TJ Maxx:TJX-TJ Maxx-10",460,2277.00
"TJX40002664","TJX - TJ Maxx:TJX-TJ Maxx-40",576,2851.20
"TJX60002664","TJX - TJ Maxx:TJX-TJ Maxx-60",260,1287.00
"TJX80002664","TJX - TJ Maxx:TJX-TJ Maxx-80",800,3960.00
"MAR01002662","TJX - Marshalls:TJX-Marshalls-01",468,2316.60
"MAR04002662","TJX - Marshalls:TJX-Marshalls-04",184,910.80
"MAR06002662","TJX - Marshalls:TJX-Marshalls-06",316,1564.20
"MAR08002662","TJX - Marshalls:TJX-Marshalls-08",752,3722.40
"TJX10002669","TJX - TJ Maxx:TJX-TJ Maxx-10",336,1663.20
"TJX40002669","TJX - TJ Maxx:TJX-TJ Maxx-40",412,2039.40
"TJX60002669","TJX - TJ Maxx:TJX-TJ Maxx-60",392,1940.40
"TJX70002669","TJX - TJ Maxx:TJX-TJ Maxx-70",528,2613.60
"TJX80002669","TJX - TJ Maxx:TJX-TJ Maxx-80",428,2118.60
"MAR01020921","TJX - Marshalls:TJX-Marshalls-01",284,1405.80
"MAR04020921","TJX - Marshalls:TJX-Marshalls-04",192,950.40
"MAR06020921","TJX - Marshalls:TJX-Marshalls-06",260,1287.00
"MAR07020921","TJX - Marshalls:TJX-Marshalls-07",260,1287.00
"MAR08020921","TJX - Marshalls:TJX-Marshalls-08",252,1247.40
"MAR01020920","TJX - Marshalls:TJX-Marshalls-01",300,1485.00
"MAR04020920","TJX - Marshalls:TJX-Marshalls-04",200,990.00
"MAR06020920","TJX - Marshalls:TJX-Marshalls-06",248,1227.60
"MAR07020920","TJX - Marshalls:TJX-Marshalls-07",224,1108.80
"MAR08020920","TJX - Marshalls:TJX-Marshalls-08",276,1366.20
"TJX10020922","TJX - TJ Maxx:TJX-TJ Maxx-10",168,831.60
"TJX40020922","TJX - TJ Maxx:TJX-TJ Maxx-40",192,950.40
"TJX60020922","TJX - TJ Maxx:TJX-TJ Maxx-60",200,990.00
"TJX70020922","TJX - TJ Maxx:TJX-TJ Maxx-70",268,1326.60
"TJX80020922","TJX - TJ Maxx:TJX-TJ Maxx-80",192,950.40
"TJX10020923","TJX - TJ Maxx:TJX-TJ Maxx-10",176,871.20
"TJX40020923","TJX - TJ Maxx:TJX-TJ Maxx-40",184,910.80
"TJX60020923","TJX - TJ Maxx:TJX-TJ Maxx-60",192,950.40
"TJX70020923","TJX - TJ Maxx:TJX-TJ Maxx-70",268,1326.60
"TJX80020923","TJX - TJ Maxx:TJX-TJ Maxx-80",200,990.00
"Total 66908 (Wavy Glass 51 oz Rectangular Food Storage 2P sets - Sage)",,12168,60231.60
"66950 (Cloc Glass Divider 2pc 34oz Rectangular FS w Tinted Lid - Lt Grey)",,,
"MAR01033820","TJX - Marshalls:TJX-Marshalls-01",260,1307.80
"MAR04033820","TJX - Marshalls:TJX-Marshalls-04",176,885.28
"MAR06033820","TJX - Marshalls:TJX-Marshalls-06",200,1006.00
"MAR07033820","TJX - Marshalls:TJX-Marshalls-07",204,1026.12
"MAR08033820","TJX - Marshalls:TJX-Marshalls-08",256,1287.68
"TJX10033860","TJX - TJ Maxx:TJX-TJ Maxx-10",212,1066.36
"TJX40033860","TJX - TJ Maxx:TJX-TJ Maxx-40",248,1247.44
"TJX60033860","TJX - TJ Maxx:TJX-TJ Maxx-60",264,1327.92
"TJX70033860","TJX - TJ Maxx:TJX-TJ Maxx-70",360,1810.80
"TJX80033860","TJX - TJ Maxx:TJX-TJ Maxx-80",248,1247.44
"Total 66950 (Cloc Glass Divider 2pc 34oz Rectangular FS w Tinted Lid - Lt Grey)",,2428,12212.84
"66965 (Comodo Glass 27oz Square 2pc Food Storage - Ivory  )",,,
"MAR04023373","TJX - Marshalls:TJX-Marshalls-04",212,896.76
"MAR01033848","TJX - Marshalls:TJX-Marshalls-01",112,473.76
"MAR04033848","TJX - Marshalls:TJX-Marshalls-04",272,1150.56
"MAR06033848","TJX - Marshalls:TJX-Marshalls-06",328,1387.44
"MAR07033848","TJX - Marshalls:TJX-Marshalls-07",276,1167.48
"MAR08033848","TJX - Marshalls:TJX-Marshalls-08",208,879.84
"TJX10033863","TJX - TJ Maxx:TJX-TJ Maxx-01",232,981.36
"TJX40033863","TJX - TJ Maxx:TJX-TJ Maxx-04",272,1150.56
"TJX60033863","TJX - TJ Maxx:TJX-TJ Maxx-06",288,1218.24
"TJX70033863","TJX - TJ Maxx:TJX-TJ Maxx-07",392,1658.16
"TJX80033863","TJX - TJ Maxx:TJX-TJ Maxx-08",276,1167.48
"Total 66965 (Comodo Glass 27oz Square 2pc Food Storage - Ivory  )",,2868,12131.64
"66967 (Comodo Glass 51oz Rectangular 2pc Food Storage - Ivory  )",,,
"MAR04023373","TJX - Marshalls:TJX-Marshalls-04",212,1312.28
"MAR01033822","TJX - Marshalls:TJX-Marshalls-01",108,668.52
"MAR04033822","TJX - Marshalls:TJX-Marshalls-04",164,1015.16
"MAR06033822","TJX - Marshalls:TJX-Marshalls-06",192,1188.48
"MAR07033822","TJX - Marshalls:TJX-Marshalls-07",184,1138.96
"MAR08033822","TJX - Marshalls:TJX-Marshalls-08",216,1337.04
"TJX10033861","TJX - TJ Maxx:TJX-TJ Maxx-10",112,693.28
"TJX40033861","TJX - TJ Maxx:TJX-TJ Maxx-40",144,891.36
"TJX60033861","TJX - TJ Maxx:TJX-TJ Maxx-60",340,2104.60
"TJX70033861","TJX - TJ Maxx:TJX-TJ Maxx-70",264,1634.16
"TJX80033861","TJX - TJ Maxx:TJX-TJ Maxx-80",268,1658.92
"Total 66967 (Comodo Glass 51oz Rectangular 2pc Food Storage - Ivory  )",,2204,13642.76
"67014 (Wavy Glass 27 oz Square Food Storage 2P sets -  Butter Yellow)",,,
"MAR01033810","TJX - Marshalls:TJX-Marshalls-01",92,337.64
"MAR04033810","TJX - Marshalls:TJX-Marshalls-04",92,337.64
"MAR06033810","TJX - Marshalls:TJX-Marshalls-06",112,411.04
"MAR07033810","TJX - Marshalls:TJX-Marshalls-07",112,411.04
"MAR08033810","TJX - Marshalls:TJX-Marshalls-08",140,513.80
"TJX10033853","TJX - TJ Maxx:TJX-TJ Maxx-10",104,381.68
"TJX40033853","TJX - TJ Maxx:TJX-TJ Maxx-40",120,440.40
"TJX60033853","TJX - TJ Maxx:TJX-TJ Maxx-60",132,484.44
"TJX70033853","TJX - TJ Maxx:TJX-TJ Maxx-70",184,675.28
"TJX80033853","TJX - TJ Maxx:TJX-TJ Maxx-80",124,455.08
"Total 67014 (Wavy Glass 27 oz Square Food Storage 2P sets -  Butter Yellow)",,1212,4448.04
"67015 (Wavy Glass 21 oz Rectangular Food Storage 2P sets - Butter Yellow)",,,
"MAR01033810","TJX - Marshalls:TJX-Marshalls-01",92,292.56
"MAR04033810","TJX - Marshalls:TJX-Marshalls-04",96,305.28
"MAR06033810","TJX - Marshalls:TJX-Marshalls-06",112,356.16
"MAR07033810","TJX - Marshalls:TJX-Marshalls-07",108,343.44
"MAR08033810","TJX - Marshalls:TJX-Marshalls-08",140,445.20
"TJX10033853","TJX - TJ Maxx:TJX-TJ Maxx-10",104,330.72
"TJX40033853","TJX - TJ Maxx:TJX-TJ Maxx-40",124,394.32
"TJX60033853","TJX - TJ Maxx:TJX-TJ Maxx-60",132,419.76
"TJX70033853","TJX - TJ Maxx:TJX-TJ Maxx-70",180,572.40
"TJX80033853","TJX - TJ Maxx:TJX-TJ Maxx-80",124,394.32
"Total 67015 (Wavy Glass 21 oz Rectangular Food Storage 2P sets - Butter Yellow)",,1212,3854.16
"67016 (Wavy Glass 34 oz Rectangular Food Storage 2P sets -  Butter Yellow)",,,
"MAR01033820","TJX - Marshalls:TJX-Marshalls-01",132,545.16
"MAR04033820","TJX - Marshalls:TJX-Marshalls-04",84,346.92
"MAR06033820","TJX - Marshalls:TJX-Marshalls-06",100,413.00
"MAR07033820","TJX - Marshalls:TJX-Marshalls-07",104,429.52
"MAR08033820","TJX - Marshalls:TJX-Marshalls-08",128,528.64
"TJX10033860","TJX - TJ Maxx:TJX-TJ Maxx-10",104,429.52
"TJX40033860","TJX - TJ Maxx:TJX-TJ Maxx-40",124,512.12
"TJX60033860","TJX - TJ Maxx:TJX-TJ Maxx-60",132,545.16
"TJX70033860","TJX - TJ Maxx:TJX-TJ Maxx-70",180,743.40
"TJX80033860","TJX - TJ Maxx:TJX-TJ Maxx-80",124,512.12
"MAR01020921","TJX - Marshalls:TJX-Marshalls-01",92,379.96
"MAR04020921","TJX - Marshalls:TJX-Marshalls-04",64,264.32
"MAR06020921","TJX - Marshalls:TJX-Marshalls-06",88,363.44
"MAR07020921","TJX - Marshalls:TJX-Marshalls-07",88,363.44
"MAR08020921","TJX - Marshalls:TJX-Marshalls-08",84,346.92
"MAR01020920","TJX - Marshalls:TJX-Marshalls-01",100,413.00
"MAR04020920","TJX - Marshalls:TJX-Marshalls-04",64,264.32
"MAR06020920","TJX - Marshalls:TJX-Marshalls-06",84,346.92
"MAR07020920","TJX - Marshalls:TJX-Marshalls-07",76,313.88
"MAR08020920","TJX - Marshalls:TJX-Marshalls-08",92,379.96
"TJX10020922","TJX - TJ Maxx:TJX-TJ Maxx-10",124,512.12
"TJX70020922","TJX - TJ Maxx:TJX-TJ Maxx-70",88,363.44
"TJX80020922","TJX - TJ Maxx:TJX-TJ Maxx-80",128,528.64
"TJX60020923","TJX - TJ Maxx:TJX-TJ Maxx-60",124,512.12
"TJX70020923","TJX - TJ Maxx:TJX-TJ Maxx-70",88,363.44
"TJX80020923","TJX - TJ Maxx:TJX-TJ Maxx-80",128,528.64
"Total 67016 (Wavy Glass 34 oz Rectangular Food Storage 2P sets -  Butter Yellow)",,2724,11250.12
"67017 (Wavy Glass 51 oz Rectangular Food Storage 2P sets -  Butter Yellow)",,,
"MAR01020921","TJX - Marshalls:TJX-Marshalls-01",140,693.00
"MAR04020921","TJX - Marshalls:TJX-Marshalls-04",96,475.20
"MAR06020921","TJX - Marshalls:TJX-Marshalls-06",132,653.40
"MAR07020921","TJX - Marshalls:TJX-Marshalls-07",132,653.40
"MAR08020921","TJX - Marshalls:TJX-Marshalls-08",128,633.60
"MAR01020920","TJX - Marshalls:TJX-Marshalls-01",152,752.40
"MAR04020920","TJX - Marshalls:TJX-Marshalls-04",100,495.00
"MAR06020920","TJX - Marshalls:TJX-Marshalls-06",124,613.80
"MAR07020920","TJX - Marshalls:TJX-Marshalls-07",112,554.40
"MAR08020920","TJX - Marshalls:TJX-Marshalls-08",140,693.00
"TJX10020922","TJX - TJ Maxx:TJX-TJ Maxx-10",80,396.00
"TJX40020922","TJX - TJ Maxx:TJX-TJ Maxx-40",96,475.20
"TJX60020922","TJX - TJ Maxx:TJX-TJ Maxx-60",104,514.80
"TJX70020922","TJX - TJ Maxx:TJX-TJ Maxx-70",132,653.40
"TJX80020922","TJX - TJ Maxx:TJX-TJ Maxx-80",96,475.20
"TJX10020923","TJX - TJ Maxx:TJX-TJ Maxx-10",84,415.80
"TJX40020923","TJX - TJ Maxx:TJX-TJ Maxx-40",92,455.40
"TJX60020923","TJX - TJ Maxx:TJX-TJ Maxx-60",96,475.20
"TJX70020923","TJX - TJ Maxx:TJX-TJ Maxx-70",136,673.20
"TJX80020923","TJX - TJ Maxx:TJX-TJ Maxx-80",100,495.00
"Total 67017 (Wavy Glass 51 oz Rectangular Food Storage 2P sets -  Butter Yellow)",,2272,11246.40
"67018 (Wavy Glass 27 oz Square Food Storage 2P sets - Rose Pink)",,,
"MAR01033810","TJX - Marshalls:TJX-Marshalls-01",184,675.28
"MAR04033810","TJX - Marshalls:TJX-Marshalls-04",188,689.96
"MAR06033810","TJX - Marshalls:TJX-Marshalls-06",224,822.08
"MAR07033810","TJX - Marshalls:TJX-Marshalls-07",220,807.40
"MAR08033810","TJX - Marshalls:TJX-Marshalls-08",280,1027.60
"MAR01033822","TJX - Marshalls:TJX-Marshalls-01",152,557.84
"MAR04033822","TJX - Marshalls:TJX-Marshalls-04",228,836.76
"MAR06033822","TJX - Marshalls:TJX-Marshalls-06",268,983.56
"MAR07033822","TJX - Marshalls:TJX-Marshalls-07",256,939.52
"MAR08033822","TJX - Marshalls:TJX-Marshalls-08",304,1115.68
"TJX10033861","TJX - TJ Maxx:TJX-TJ Maxx-10",136,499.12
"TJX40033861","TJX - TJ Maxx:TJX-TJ Maxx-40",184,675.28
"TJX60033861","TJX - TJ Maxx:TJX-TJ Maxx-60",440,1614.80
"TJX70033861","TJX - TJ Maxx:TJX-TJ Maxx-70",344,1262.48
"TJX80033861","TJX - TJ Maxx:TJX-TJ Maxx-80",344,1262.48
"TJX10033853","TJX - TJ Maxx:TJX-TJ Maxx-10",212,778.04
"TJX40033853","TJX - TJ Maxx:TJX-TJ Maxx-40",248,910.16
"TJX60033853","TJX - TJ Maxx:TJX-TJ Maxx-60",260,954.20
"TJX70033853","TJX - TJ Maxx:TJX-TJ Maxx-70",360,1321.20
